"","location","mean_rent","num_contracts","CBD_dist","CBD_mins","build_age","num_rooms","over_load","dens_household","dens_pop","commuters","tspend_commuters","month_cost","area","unemp_rate","new_households_5","area_D","higher_edu","num_jobs","dens_jobs","shore","rent_m2"
"58","            Se",544.97,72,0.5,4,85.49,5.2,0.085365854,7259.21,7584.3,10.22,22.58,433.3,100.3,0.106837607,17.7,0.12,33.29,407,3391.7,0,5.43339980059821
"59","            Socorro",362.76,372,1.2,6,87.69,3.9,0.219457014,18860.78,27646.2,8.28,21.6,NA,51.93,0.175081967,21,0.11,11.96,866,7872.7,0,6.98555748122473
"60","            Apelacao",260.62,256,17.3,31,31.06,4.3,0.246801706,1544.94,3962,43.23,29.81,413.6,84.53,0.238315952,8.7,1.43,5.13,282,197.2,0,3.08316573997397
"61","            Bucelas",326.26,176,32.4,39,49.67,4.6,0.115241636,76.95,137.3,38.24,25.86,622.9,93.93,0.087483176,8.8,33.97,9.15,1438,42.3,0,3.47343766634728
"62","            Camarate",365.69,1643,14.9,29,38.41,4.1,0.226054156,1638.95,3496.5,47.96,28.53,476.5,73.17,0.173958225,12.6,5.66,5.42,2649,468,0,4.99781331146645
"63","            Fanhoes",350.5,120,25,34,42.08,4.6,0.12754159,123.56,241,36.35,27.92,610.6,91.63,0.100780696,11.5,11.62,9.51,215,18.5,0,3.82516643020845
"64","            Frielas",371.23,69,18.1,31,37.32,4.4,0.154716981,181.68,390.2,48.71,27.86,NA,86.48,0.118158123,9.8,5.56,7.63,2381,428.2,0,4.29266882516189
"65","            Loures",425.34,971,19.2,32,37.48,4.7,0.118391023,416.22,829.1,44.11,25.11,545.2,101.99,0.10161695,12.2,33,17.33,8524,258.3,0,4.17040886361408
"66","            Lousa",327.9,151,33,38,49.24,4.5,0.107509881,107.22,191.7,41.63,23.76,617.2,92.23,0.092020592,11,16.53,8.82,1210,73.2,0,3.55524232896021
"67","            Moscavide",479.69,972,10.4,23,48.47,4,0.13497891,7256.78,12952,60.12,25.07,666.2,84.01,0.098832242,22.6,1.1,29.58,2005,1822.7,0,5.70991548625164
"68","            Sacavem",447.06,844,15.1,29,43.19,4.2,0.161294691,2335.05,4522.9,51.57,25.49,521.8,84.05,0.150914634,16.2,4.09,20.5,4656,1138.4,0,5.31897679952409
"69","            Santa Iria de Azoia",376.44,712,19.7,29,29.27,4.6,0.117169704,1134.12,2412.7,47.72,27.54,556.9,95.24,0.11497006,9.9,7.56,11.97,3630,480.2,0,3.95254094918102
"70","            Santo Antao do Tojal",369.84,177,27.6,35,39.17,4.6,0.141677255,148.76,278.6,35.24,24.81,601,94.89,0.115949367,10,15.13,11.31,3664,242.2,0,3.89756560227632
"71","            Sao Joao da Talha",369.33,808,16,26,28.83,4.6,0.151590767,1195.31,2700.9,44.6,27.51,494.9,95.14,0.13003166,10.1,6.39,9.34,2597,406.4,0,3.88196342232499
"72","            Sao Juliao do Tojal",342.86,119,22,33,39.31,4.5,0.173144876,135.18,289,33.99,28.09,440.6,89.84,0.152915292,9.9,13.28,6.64,5657,426,0,3.81634016028495
"73","            Unhos",315.81,680,18.2,31,35.23,4.2,0.237317283,972.81,2121.2,42.11,31.11,539.3,74.26,0.162605133,10.2,4.48,4.74,457,102,0,4.25276057096687
"74","            Portela",603.71,228,11.2,27,32.17,5.3,0.060021209,5548.69,11978.9,63.78,24.86,615.3,125.7,0.092650009,9.8,0.99,46.07,862,870.7,0,4.80278440731901
"75","            Bobadela",434.23,232,13.7,24,40.64,4.5,0.092546412,1223.8,2476.5,53.48,25.7,524.4,93.35,0.102534825,13.1,3.57,18.14,2272,636.4,0,4.65163363685056
"76","            Prior Velho",380.93,319,13.7,32,36.14,4.1,0.204712813,2566.94,5406.6,57.99,26.1,538.2,83.91,0.136231884,12.7,1.32,19.68,5773,4373.5,0,4.53974496484329
"77","            Santo Antonio dos Cavaleiros",444.31,797,19.8,31,26.64,4.6,0.138834652,3283.71,7124.9,52.71,28.64,440.1,92.56,0.137482949,13.3,3.63,19.44,1265,348.5,0,4.80023768366465
"78","            Azueira",307.09,74,41.7,46,45.83,5,0.094372294,104.29,208.4,41.21,22.34,523.9,114.13,0.072958501,9.8,15.18,10.31,454,29.9,0,2.6907035836327
"79","            Carvoeira",393.02,86,54.5,52,25.22,5,0.094451004,202.12,262.4,51.05,28.12,571.3,122.32,0.115349682,22,8.21,20.53,83,10.1,1,3.21304774362328
"80","            Cheleiros",325.4,63,47.6,48,41.69,4.9,0.090740741,68.6,117,41.28,20.32,565.8,106.95,0.112121212,12.6,11.52,8.68,158,13.7,0,3.04254324450678
