,location,mean_rent,num_contracts,CBD_dist,CBD_mins,build_age,num_rooms,over_load,dens_household,dens_pop,commuters,tspend_commuters,month_cost,area,unemp_rate,new_households_5,area_D,higher_edu,num_jobs,dens_jobs,shore,urban_intens,shower,heat,AC,no_heat,shacks,sharing,contract_km2,rent_house,rent_house_nosoc,leave_school,Total_empty,Total_sale,Total_rent,Total_demoliton,percent_empty,percent_sale,percent_rent,percent_demolition,complex_rents_newincomers,empty_per_contracts,scholar_years,percent.social_value_professionals,rent_m2
134,            Sobralinho,397.42,222,29,33,46.66,4.4,0.124355005,530.27,1106.6,35.69,25.39,452.8,90.45,0.11852404,9.4,4.56,9.3,873,191.4,0,1298,0.030,0.080,0.140,0.160,0.007,0.033,48.7,0.230650155,0.222394221,1.78,285,61,76,14,0.06,0.03,0.03,0.01,8.172043011,0.342342342,9.334226553,11.88,4.393808734
135,            Forte da Casa,379.91,440,22.1,30,25.36,4.3,0.172535211,1116.38,2424.4,50.52,30.08,504.1,88.22,0.112918972,11.7,4.56,10.91,1516,332.5,0,2756.9,0.000,0.050,0.120,0.180,0.000,0.008,96.5,0.194835681,0.178403756,1.43,414,185,100,0,0.06,0.04,0.02,0.00,9.165902841,0.227272727,9.639338985,12.33,4.306393108
136,            Alfragide,589.31,221,9.7,19,29.12,5,0.056568861,3376.95,7420.8,65.17,21.97,775,116.88,0.082210243,12.7,1.33,47.6,15288,11494.7,0,18915.5,0.000,0.160,0.190,0.060,0.000,0.035,166.2,0.10679355,0.097805974,1.96,404,180,34,0,0.05,0.04,0.01,0.00,0.714285714,0.153846154,14.96093652,51.04,5.042008898
137,            Brandoa,314.55,1384,15.1,22,36.54,3.9,0.246459337,3761.82,8014.7,46.91,28.11,466.9,64.65,0.188297872,10.1,2.22,4.99,2491,1122.1,0,9136.8,0.010,0.020,0.040,0.240,0.001,0.013,623.4,0.669440794,0.576872536,2.69,968,104,322,20,0.05,0.01,0.04,0.00,64.52905812,0.23265896,7.722906404,7.69,4.865429234
138,            Buraca,378.62,547,11.9,23,32.91,4.4,0.197016882,4379.45,9577.9,51.88,24.05,NA,77.53,0.18423489,11.7,1.68,12.13,1258,748.8,0,10326.7,0.000,0.030,0.060,0.240,0.001,0.050,325.6,0.354532044,0.240944108,2.52,658,177,77,5,0.04,0.02,0.01,0.00,6.347897774,0.140767824,8.795950156,16.31,4.883528957
139,            Damaia,411.53,803,13.7,20,40.18,4.2,0.150044425,8094.93,14810.5,55.15,23.99,549.4,81.49,0.138973423,14,1.41,15.95,2630,1865.2,0,16675.7,0.010,0.060,0.090,0.190,0.003,0.065,569.5,0.238671701,0.23289649,2.43,1409,455,97,6,0.05,0.04,0.01,0.00,6.081504702,0.120797011,9.814710589,21.51,5.050067493
140,            Falagueira,393.48,593,14.1,23,39.7,4.1,0.169202475,4758.98,9843.8,51.41,25.66,477.3,76.16,0.163570458,10.1,1.48,12.18,1754,1185.1,0,11028.9,0.010,0.040,0.050,0.190,0.000,0.035,400.7,0.316000669,0.274703227,3.38,516,123,40,9,0.02,0.02,0.01,0.00,3.28407225,0.067453626,8.903238705,17.19,5.166491597
141,            Mina,426.94,774,14.3,23,39.34,4.2,0.171409305,3282.95,6390.6,53.18,27.05,510.7,79.42,0.171408663,15.8,2.81,13.8,1591,566.2,0,6956.8,0.010,0.060,0.090,0.190,0.001,0.034,275.4,0.288739042,0.280647336,2.15,1039,271,114,27,0.04,0.03,0.01,0.00,8.260869565,0.147286822,9.392297271,18.08,5.375723999
142,            Reboleira,392.14,1145,12.3,18,36.41,3.7,0.266209569,11356.61,18902.2,53.33,25.55,NA,67.8,0.165686945,16,0.76,14.7,1937,2548.7,0,21450.9,0.000,0.010,0.050,0.210,0.000,0.028,1506.6,0.319868833,0.310180355,4.7,1207,198,214,1,0.05,0.02,0.02,0.00,14.55782313,0.186899563,10.08163588,17.22,5.783775811
143,            Venteira,440.98,932,14.2,22,43.62,4.2,0.140549077,2150.75,3796,55.55,25.16,568.6,80.2,0.132618576,14.8,4.88,17.15,6390,1309.4,0,5105.4,0.000,0.050,0.070,0.160,0.000,0.045,191,0.313046647,0.307823129,2.93,1393,432,197,6,0.06,0.04,0.02,0.00,11.48688047,0.211373391,10.19327116,24.44,5.498503741
144,            Alfornelos,512.76,336,14.2,21,33.11,4.5,0.117857997,5854.99,12357.5,66.7,26.41,NA,96.01,0.126599792,13.2,0.84,29.99,600,714.3,0,13071.8,0.000,0.010,0.110,0.160,0.001,0.079,400,0.136265838,0.118336122,1.3,261,87,45,1,0.03,0.02,0.01,0.00,1.500500167,0.133928571,12.73006401,31.37,5.340693678
145,            Sao Bras,411.3,876,17.5,23,27.48,4.3,0.188877446,2205.86,5072,53.84,27.58,482.8,89.52,0.131972244,15,5.18,15.14,1846,356.4,0,5428.4,0.010,0.090,0.110,0.170,0.000,0.021,169.1,0.194644696,0.152214212,2.96,943,349,190,24,0.05,0.03,0.02,0.00,12.54953765,0.216894977,10.4258438,17.43,4.594504021
146,            Venda Nova,398.2,442,12.8,19,46.65,4.1,0.174590384,3926.07,7059.2,57.94,26.66,241.7,72.81,0.153278689,12.3,1.18,12.92,2329,1973.7,0,9032.9,0.020,0.010,0.050,0.170,0.001,0.047,374.6,0.354015579,0.345688961,1.67,505,53,95,6,0.03,0.01,0.02,0.00,7.352941176,0.214932127,9.141899288,18.49,5.46902898
147,            Canecas,361.96,583,22.3,29,30.83,4.7,0.138252945,930.79,2069.5,50.5,28.33,562.4,98.02,0.122110633,13.4,5.96,11.34,1444,242.3,0,2311.8,0.010,0.060,0.100,0.120,0.002,0.016,97.8,0.284952212,0.277394977,1.49,594,136,150,19,0.06,0.02,0.03,0.00,13.22751323,0.25728988,9.160824345,16.11,3.692715772
148,            Famoes,366.39,343,19.4,27,19.65,5,0.131448023,1080.66,2427.6,52.59,28.74,549.2,114.85,0.113904566,10.5,4.57,13.18,1659,363,0,2790.6,0.000,0.100,0.130,0.140,0.003,0.017,75.1,0.208431527,0.195600943,1.04,665,169,137,8,0.06,0.03,0.03,0.00,10.39453718,0.39941691,9.682744418,18.93,3.19016108
149,            Odivelas,415.37,2356,19.4,26,35.81,4.4,0.129650414,5789.64,11717.6,58.03,27.31,506.2,90.57,0.114234619,16.1,5.08,21.22,8675,1707.7,0,13425.3,0.000,0.110,0.190,0.180,0.003,0.031,463.8,0.231242466,0.216984661,1.74,2710,840,375,27,0.04,0.03,0.01,0.00,17.67200754,0.159168081,10.9262086,24.88,4.586176438
150,            Olival Basto,345.87,382,18.9,25,42.07,4,0.192197125,2232.82,4284.3,60.58,30.86,NA,73.51,0.150694444,13.7,1.36,10.17,592,435.3,0,4719.6,0.010,0.020,0.090,0.200,0.005,0.061,280.9,0.439425051,0.427104723,4.86,415,85,144,13,0.08,0.03,0.05,0.00,14.15929204,0.376963351,8.85024728,13.61,4.70507414
151,            Pontinha,355.91,1417,14.6,21,35.55,4.2,0.185452163,2488.28,4970.7,52.16,28.09,494.4,79.64,0.153704516,12.2,4.64,10.68,2446,527.2,0,5497.9,0.010,0.020,0.070,0.220,0.004,0.029,305.4,0.411861075,0.376583661,1.79,1319,176,431,23,0.05,0.02,0.04,0.00,40.35580524,0.304163726,8.765977871,14.19,4.468985434
152,            Povoa de Santo Adriao,397.98,511,18.8,26,34.41,4.4,0.153015995,5068.53,10573.4,55.7,27.85,479.5,86.59,0.140608284,12.8,1.24,12.95,1796,1448.4,0,12021.8,0.010,0.020,0.090,0.190,0.003,0.034,412.1,0.260551166,0.242243207,1.38,663,144,95,6,0.04,0.02,0.02,0.00,7.335907336,0.18590998,9.771355454,17.48,4.596142742
153,            Ramada,427.87,509,21,25,28.18,4.7,0.103022163,2414.96,5582.2,55.67,26.44,488,102.53,0.092765726,13.3,3.52,24,1913,543.5,0,6125.7,0.010,0.120,0.250,0.130,0.002,0.025,144.6,0.158361316,0.153660175,1.42,608,157,100,3,0.03,0.02,0.01,0.00,4.166666667,0.196463654,11.44757866,27.07,4.173120062
154,            Alcochete,445.52,438,34.6,36,37.36,4.8,0.08831113,52.12,102.5,47.56,24.01,591.4,110.96,0.123708111,17.3,119.44,22.55,3954,33.1,0,135.6,0.010,0.110,0.260,0.100,0.000,0.018,3.7,0.210356682,0.199183498,1.97,922,321,82,52,0.07,0.05,0.01,0.01,3.636363636,0.187214612,11.00170648,29.18,4.015140591
155,            Samouco,323.85,139,38.8,39,43.27,4.7,0.0976,327.43,660.1,51.86,23.13,508.3,106.22,0.129549661,14.3,4.76,13.76,144,30.3,0,690.4,0.010,0.060,0.160,0.120,0.001,0.009,29.2,0.2792,0.276,2.39,182,53,14,4,0.05,0.03,0.01,0.00,1.01744186,0.100719424,9.951694585,18.57,3.048860855
156,            Sao Francisco,413.37,72,36.3,36,27.53,4.9,0.085956416,251.1,525.5,56.03,24.23,650.4,133.41,0.089836661,27.4,4.16,27.8,137,32.9,0,558.4,0.020,0.250,0.330,0.080,0.002,0.014,17.3,0.180387409,0.180387409,3.68,147,116,13,3,0.13,0.11,0.01,0.00,0.467625899,0.180555556,11.40046838,37.29,3.098493366
157,            Almada,404.45,906,13,22,56.23,4.4,0.093933965,7569.34,12096.9,42.77,28.87,480.6,86.43,0.149072753,8.7,1.37,19.08,4560,3328.5,0,15425.4,0.010,0.030,0.130,0.190,0.001,0.025,661.3,0.386869721,0.381750704,1.01,1723,179,259,23,0.04,0.02,0.03,0.00,13.57442348,0.285871965,10.18080566,29.09,4.67950943
158,            Caparica,310.95,767,14.5,21,36.82,4.5,0.158616272,994.75,1857.5,36.29,28.19,500,86.03,0.183695869,8.8,11.01,12.06,2607,236.8,1,2094.3,0.010,0.040,0.080,0.200,0.002,0.023,69.7,0.418449712,0.233824471,2.45,1381,338,330,9,0.06,0.03,0.03,0.00,27.36318408,0.430247718,9.092718333,17.06,3.614436824
159,            Costa da Caparica,425.09,872,17.3,22,42.04,4.2,0.160506329,1374.5,1318.3,40.27,29.91,512,82.99,0.139079773,15,10.18,20.66,1565,153.7,1,1472,0.020,0.030,0.110,0.190,0.005,0.040,85.7,0.279493671,0.25721519,2.73,663,242,178,12,0.03,0.02,0.01,0.00,8.615682478,0.20412844,10.83797096,26.55,5.122183396
160,            Cova da Piedade,445.6,970,12.3,20,51.56,4.6,0.083038264,7657.33,13984,43.77,28.36,559.6,90.07,0.134098324,7.9,1.42,18.95,2628,1850.7,0,15834.7,0.010,0.050,0.160,0.180,0.001,0.035,683.1,0.278812107,0.275042833,1.68,1099,225,412,12,0.06,0.02,0.04,0.00,21.7414248,0.424742268,10.37069701,26.54,4.94726324
161,            Trafaria,334.71,174,18.6,25,50.88,4.4,0.159904535,573.79,993.4,32.64,31.7,632.1,77.22,0.202714165,7.8,5.73,6.61,231,40.3,1,1033.7,0.040,0.010,0.060,0.220,0.081,0.033,30.4,0.407637232,0.378042959,2.71,288,47,71,5,0.04,0.02,0.02,0.00,10.74130106,0.408045977,8.022078734,13.51,4.334498834
162,            Cacilhas,419.63,284,13.7,24,51.15,4.5,0.099283154,3416.53,5523.2,46.72,31.38,NA,92.45,0.131693772,10.4,1.09,21.03,1087,997.2,0,6520.4,0.010,0.020,0.090,0.200,0.000,0.017,260.6,0.32688172,0.32078853,1.69,718,101,56,9,0.04,0.03,0.02,0.00,2.662862577,0.197183099,10.70593641,28.19,4.538994051
163,            Pragal,370.47,201,12.8,21,49.88,4.6,0.127402135,1489.32,3151.3,41.98,26.93,NA,94.97,0.157970183,8,2.27,24.84,2432,1071.4,0,4222.7,0.010,0.040,0.180,0.180,0.001,0.018,88.5,0.313523132,0.148398577,1.35,283,71,43,0,0.03,0.02,0.01,0.00,1.731078905,0.213930348,11.23324136,32.89,3.900916079
164,            Sobreda,391.88,373,14.4,22,26.35,5,0.096312209,1122.51,2459.8,41.04,28.21,469.3,111.62,0.120015844,10.1,6.17,20.86,1305,211.5,0,2671.3,0.000,0.090,0.220,0.110,0.003,0.009,60.5,0.163265306,0.134264232,2.74,552,217,69,12,0.04,0.03,0.01,0.00,3.307766059,0.184986595,10.7793829,26.89,3.510840351
165,            Charneca de Caparica,473.4,707,19.2,24,22.82,5.2,0.082879942,786.89,1286.1,43.11,30.44,647.5,124.24,0.108295241,13,23.14,25.15,2761,119.3,0,1405.4,0.000,0.110,0.220,0.090,0.001,0.015,30.6,0.114889373,0.109357998,1.63,1248,408,208,17,0.03,0.02,0.01,0.00,8.270377734,0.294200849,11.57464372,33.83,3.810367032
166,            Laranjeiro,436.41,1029,13.6,24,41.9,4.4,0.156530051,2720.51,5415.2,40.47,29.76,480.4,84.74,0.181018613,9.6,3.88,12.18,2354,606.7,0,6021.9,0.010,0.030,0.130,0.220,0.002,0.029,265.2,0.317959135,0.266579042,2.54,1098,276,259,30,0.05,0.03,0.02,0.00,21.26436782,0.25170068,9.285402928,15.32,5.149988199
167,            Feijo,392.67,906,13.6,22,33.92,4.5,0.123215922,2343.39,4785.6,40.74,29.15,492.8,91.98,0.125725134,9.7,3.95,17.63,2540,643,0,5428.6,0.010,0.050,0.170,0.160,0.001,0.022,229.4,0.237265942,0.210815765,1.74,838,261,145,16,0.05,0.03,0.02,0.00,8.22461713,0.16004415,10.43045647,22.08,4.269080235
168,            Barreiro,307.51,379,33.3,41,61.48,4.6,0.089712919,1341.44,2009.3,41.19,30.99,511.5,90.14,0.154368632,7.6,3.71,24.23,4341,1170.1,0,3179.4,0.040,0.040,0.150,0.160,0.003,0.018,102.2,0.353169856,0.347488038,2.13,1228,313,196,45,0.11,0.06,0.04,0.01,8.089145687,0.517150396,11.08858629,34.76,3.411471045
169,            Lavradio,342.97,392,39.1,38,44.03,4.4,0.109053847,1812.38,3581.6,48.49,33.74,427.7,90.33,0.141974422,10.2,4.03,12.97,1915,475.2,0,4056.8,0.000,0.110,0.150,0.150,0.000,0.018,97.3,0.215729574,0.211143197,1.77,711,324,94,23,0.06,0.04,0.01,0.00,7.247494217,0.239795918,9.740924913,17.84,3.796855973
170,            Palhais,339.42,52,28.5,32,28.4,5.1,0.057534247,128.81,262.8,43.74,28.44,446,125.01,0.110552764,9.7,7.11,25.79,617,86.8,0,349.6,0.010,0.140,0.300,0.110,0.014,0.032,7.3,0.150684932,0.149315068,1.6,96,38,15,11,0.07,0.04,0.02,0.01,0.581620783,0.288461538,11.44832041,34.92,2.715142789
171,            Santo Andre,332.16,358,37.1,35,36.18,4.4,0.109106347,1360.27,2744.9,44.71,32.09,471.8,90.01,0.138772537,8.2,4.18,14.09,936,223.9,0,2968.8,0.000,0.030,0.170,0.150,0.002,0.020,85.6,0.208872851,0.196985778,1.47,568,137,50,2,0.03,0.02,0.01,0.00,3.54861604,0.139664804,9.632172235,20.85,3.690256638
172,            Verderena,339.32,454,32.6,36,45.21,4.3,0.1152513,4612.59,8289.4,49.64,35.24,473.7,80.09,0.159461844,9.9,1.24,10.97,340,274.2,0,8563.6,0.000,0.020,0.120,0.190,0.001,0.014,366.1,0.278596187,0.273830156,2.37,484,136,121,22,0.05,0.02,0.02,0.00,11.03008204,0.266519824,9.134451019,16.69,4.236733675
173,            Alto do Seixalinho,326.82,680,38.8,37,43.91,4.2,0.119075279,6225.15,11386,45.65,33.84,463.1,82.6,0.168928772,9.2,1.76,10.66,1361,773.3,0,12159.3,0.010,0.030,0.140,0.200,0.001,0.009,386.4,0.242565056,0.231412639,2.32,1462,298,158,20,0.04,0.03,0.01,0.00,14.8217636,0.232352941,8.981578795,15.66,3.956658596
174,            Santo Antonio da Charneca,336.3,237,34.3,32,32.73,4.9,0.116016909,693.68,1498.8,44.77,32.48,608.9,108.18,0.157885305,9,7.7,14.69,564,73.2,0,1572,0.010,0.060,0.170,0.140,0.004,0.017,30.8,0.135744481,0.111319868,1.94,546,163,37,14,0.04,0.03,0.01,0.00,2.518720218,0.156118143,9.747069198,21.6,3.108707709
175,            Coina,281.83,41,25.7,27,48.32,4.5,0.131771596,134.82,258.2,49.57,26.13,496.7,87.05,0.17193426,11.7,6.67,9.02,858,128.6,0,386.8,0.050,0.080,0.120,0.090,0.003,0.012,6.1,0.181551977,0.175695461,3.16,117,31,9,5,0.05,0.03,0.01,0.01,0.997782705,0.219512195,8.046448087,13.44,3.237564618
176,            Alhos Vedros,337.25,397,39.6,40,36.3,4.6,0.107403015,458.81,840.4,55.71,30.14,445.4,96.08,0.152661622,11.1,17.91,11.2,2190,122.3,0,962.7,0.020,0.070,0.150,0.140,0.002,0.018,22.2,0.169405387,0.163645604,1.39,1708,322,66,83,0.06,0.04,0.01,0.01,5.892857143,0.166246851,9.56309123,15.9,3.510095754
177,            Baixa da Banheira,310.34,634,39.5,38,40.65,4.1,0.164472191,2938.64,5265.2,55.23,31.89,465.1,78.1,0.182750052,8.2,4,7.25,1280,320,0,5585.2,0.020,0.010,0.100,0.210,0.001,0.012,158.5,0.253575482,0.247900114,1.32,1855,321,219,91,0.05,0.03,0.02,0.01,30.20689655,0.345425868,8.497004992,11.61,3.97362356
178,            Moita,366.42,423,38.8,40,38.53,4.7,0.100999706,502.86,983.9,46.76,25.68,521.8,100.5,0.154575957,8.5,17.94,12.49,2281,127.1,0,1111,0.010,0.030,0.160,0.130,0.001,0.018,23.6,0.170685093,0.158923846,1.8,1234,218,95,120,0.05,0.02,0.01,0.01,7.606084868,0.224586288,9.510947922,17.97,3.645970149
179,            Gaio-Rosario,391.25,10,40.8,43,33.15,4.8,0.095444685,66.82,138.7,42.28,25.34,532.5,110.35,0.118794326,6.3,8.84,13.17,22,2.5,0,141.2,0.020,0.040,0.220,0.140,0.000,0.013,1.1,0.221258134,0.20824295,1.15,99,7,3,7,0.03,0.01,0.01,0.01,0.227790433,0.3,9.365612648,20.72,3.545536928
180,            Sarilhos Pequenos,275.15,33,38.9,41,34.72,4.5,0.112385321,149.79,277.4,47.35,25.72,522.6,91.94,0.1015625,7.8,4.15,11.95,46,11.1,0,288.5,0.020,0.060,0.160,0.080,0.002,0.000,8,0.318807339,0.316513761,2.2,157,24,2,0,0.04,0.04,0.00,0.00,0.167364017,0.060606061,8.532157676,23.48,2.992712639
181,            Vale da Amoreira,253.98,263,31.1,37,29.5,4.6,0.219618056,1843.98,4082.8,48.8,34.49,515,86.53,0.275968992,10.1,2.42,6.02,184,76,0,4158.8,0.010,0.010,0.060,0.280,0.002,0.024,108.7,0.274305556,0.168113426,2.7,547,105,55,3,0.04,0.02,0.01,0.00,9.136212625,0.209125475,8.470025745,7.68,2.935166994
182,            Canha,271.76,54,67.4,56,48.26,4.7,0.108108108,5.68,8,21.76,21.54,488.9,92.15,0.096,10.2,211.97,6.3,310,1.5,0,9.5,0.050,0.020,0.110,0.050,0.000,0.044,0.3,0.136636637,0.132132132,2.64,355,19,7,40,0.06,0.02,0.01,0.03,1.111111111,0.12962963,6.459785523,12.24,2.949104721
183,            Montijo,391.02,1261,35.5,38,44.36,4.7,0.083513739,571.75,1097.5,41.28,25.3,465.3,102.69,0.136075949,15.4,27.25,17.78,5766,211.6,0,1309.1,0.010,0.070,0.210,0.130,0.002,0.017,46.3,0.259034138,0.23397169,2.62,2146,779,271,159,0.08,0.05,0.02,0.01,15.24184477,0.214908803,10.47496487,22.49,3.807770961
184,            Santo Isidro de Pegoes,290.63,40,57.5,51,40.39,4.9,0.123263889,14.53,27.7,31.79,26,622.1,113.56,0.135135135,12.7,55.5,7.56,283,5.1,0,32.8,0.020,0.040,0.120,0.090,0.014,0.058,0.7,0.111111111,0.111111111,2.22,124,14,13,6,0.04,0.02,0.02,0.01,1.71957672,0.325,7.87434161,14.29,2.559263825
185,            Sarilhos Grandes,318.71,143,37.9,39,38.88,4.6,0.137490609,148.99,291,37.8,21.54,598.8,100.2,0.135352287,13.3,11.77,8.74,324,27.5,0,318.5,0.030,0.020,0.140,0.150,0.004,0.053,12.1,0.229151014,0.221637866,1.65,228,30,32,21,0.05,0.02,0.02,0.01,3.661327231,0.223776224,8.121212121,15.65,3.180738523
186,            Alto-Estanqueiro-Jardia,402.37,95,35.6,35,40.22,4.6,0.141666667,118.31,258.2,31.22,19.31,619,103.79,0.139553429,9,11.02,5.75,814,73.9,0,332.1,0.040,0.030,0.150,0.140,0.003,0.027,8.6,0.161111111,0.155555556,6.04,101,23,8,0,0.02,0.02,0.01,0.00,1.391304348,0.084210526,7.165636588,12.97,3.876770402
187,            Pegoes,322.78,90,63.1,56,32.83,4.6,0.140291807,47.21,97.8,30.13,20.37,439.4,93.88,0.099284436,11.5,24.27,5.45,887,36.5,0,134.3,0.020,0.020,0.120,0.070,0.011,0.039,3.7,0.171717172,0.162738496,3.31,115,28,19,2,0.04,0.02,0.02,0.00,3.486238532,0.211111111,7.426116838,12.02,3.438219003
188,            Atalaia,466.98,106,47.8,46,26.51,4.8,0.085580305,436.55,852.2,55.47,25.37,682.3,119.03,0.089058524,19.3,2.63,24.22,219,83.3,0,935.5,0.010,0.160,0.220,0.100,0.001,0.016,40.3,0.234466589,0.23094959,3.42,202,87,11,15,0.10,0.08,0.01,0.01,0.454170107,0.103773585,11.12817617,32.77,3.923212635
189,            Afonsoeiro,412.44,347,31.5,34,41.25,4.6,0.098025388,908.64,1711.5,51.36,26.82,476.1,101.85,0.137463698,29,4.21,23.12,1403,333.3,0,2044.8,0.010,0.110,0.430,0.130,0.002,0.020,82.4,0.227080395,0.218970381,1.67,682,412,57,14,0.13,0.11,0.01,0.00,2.465397924,0.16426513,11.21347542,26.32,4.049484536
190,            Marateca,328.93,89,63.3,51,34.15,4.7,0.131078224,14.11,28.4,35.73,23.44,668.5,101.75,0.16724537,10.2,130.59,5.95,761,5.8,0,34.2,0.040,0.020,0.140,0.120,0.002,0.019,0.7,0.136715997,0.133897111,1.96,169,29,24,8,0.03,0.02,0.01,0.00,4.033613445,0.269662921,7.1326563,14.66,3.232727273
191,            Palmela,389.68,439,43.6,43,31.19,5,0.082726569,116.69,225.6,42.27,22.96,645.1,123.04,0.126076932,11.4,77.51,17.74,6205,80.1,0,305.7,0.010,0.060,0.190,0.090,0.002,0.012,5.7,0.148257165,0.142370256,1.83,1207,255,75,78,0.05,0.03,0.01,0.01,4.227733935,0.170842825,10.00434016,27.53,3.16710013
192,            Pinhal Novo,385.42,811,41.8,39,31.3,4.6,0.121375661,229.63,459.1,41.5,25.48,515.9,103.18,0.136915888,12.4,54.44,13.45,2982,54.8,0,513.9,0.010,0.030,0.210,0.110,0.001,0.010,14.9,0.135449735,0.132910053,1.51,1482,482,92,71,0.05,0.04,0.01,0.01,6.840148699,0.113440197,9.829858907,18.15,3.73541384
193,            Quinta do Anjo,442.85,340,38.9,43,23.48,5,0.087747215,144.51,232.1,47.71,25.68,551.5,121.56,0.133038448,18.7,51.13,19.7,9466,185.1,0,417.2,0.020,0.080,0.300,0.070,0.004,0.017,6.6,0.133666742,0.132075472,1.98,1328,458,237,34,0.10,0.06,0.03,0.00,12.03045685,0.697058824,10.31174545,28.73,3.643056927
194,            Poceirao,293.6,82,53,51,35.02,4.6,0.173356603,15.95,31.5,28.58,23.8,608.3,98.44,0.14571949,9.8,151.46,4,564,3.7,0,35.2,0.030,0.020,0.110,0.100,0.013,0.017,0.5,0.082024433,0.070971495,4.69,256,39,43,27,0.05,0.02,0.02,0.01,10.75,0.524390244,6.916937703,10.02,2.982527428
195,            Aldeia de Paio Pires,365.94,379,24.9,32,36.83,4.4,0.132497589,400.87,828.2,43.91,28.83,446.9,88.84,0.140919894,9.6,16.01,14.34,4416,275.8,0,1104,0.010,0.060,0.200,0.160,0.002,0.014,23.7,0.174349084,0.155834137,2.62,619,280,52,8,0.05,0.04,0.01,0.00,3.626220363,0.137203166,10.13746605,17.27,4.1190905
196,            Amora,411.53,1722,22.3,32,29.64,4.7,0.132695306,983.21,1996.3,45.78,30.01,533.2,97.5,0.158062777,10.5,24.36,12.51,4654,191.1,0,2187.4,0.010,0.040,0.140,0.180,0.005,0.081,70.7,0.177590193,0.161675359,2.26,2417,672,321,34,0.04,0.03,0.01,0.00,25.65947242,0.18641115,9.588389604,16.72,4.220820513
197,            Arrentela,358.82,837,21.8,30,29.38,4.5,0.135496523,1413.54,2841,42.23,28.73,471.7,91.17,0.151892702,9.2,10.17,12.14,2836,278.9,0,3119.9,0.010,0.040,0.170,0.160,0.002,0.015,82.3,0.164556962,0.146817615,1.87,1565,534,197,31,0.05,0.04,0.01,0.00,16.22734761,0.235364397,9.665391492,15.88,3.935724471
198,            Seixal,389.36,157,23.7,34,71.95,4.3,0.093268451,505.63,744.6,46.34,30.32,435.6,83.87,0.108862526,11.9,3.73,25.22,1920,514.7,0,1259.3,0.030,0.080,0.120,0.160,0.002,0.011,42.1,0.340632603,0.338199513,1.18,419,110,64,28,0.11,0.06,0.03,0.01,2.537668517,0.407643312,11.11366539,32.11,4.642422797
199,            Corroios,432.24,1277,16.4,29,24.55,4.8,0.100054259,1334.51,2785.5,61.32,31.01,551.1,104,0.12134213,14.3,17.11,18.84,4487,262.2,0,3047.7,0.010,0.060,0.220,0.140,0.001,0.021,74.6,0.111394466,0.107813348,1.85,1498,597,270,7,0.04,0.03,0.01,0.00,14.33121019,0.211433046,10.95201799,22.98,4.156153846
200,            Fernao Ferro,397.01,300,25.6,34,19.29,5.2,0.081709514,418.38,707.1,47.23,30.36,519.7,129.4,0.134062927,14.3,24.13,13.88,1199,49.7,0,756.8,0.010,0.070,0.230,0.070,0.006,0.029,12.4,0.078925823,0.072539709,2.43,912,381,72,34,0.05,0.04,0.01,0.00,5.187319885,0.24,9.562973352,22.62,3.068083462
201,            Sesimbra (Castelo),384.47,491,37.9,47,25.27,4.8,0.110368824,75.75,106.3,28.17,23.81,505.2,110.61,0.115875228,9.2,179.29,16.15,2972,16.6,1,122.9,0.010,0.070,0.110,0.110,0.002,0.018,2.7,0.131802366,0.11802366,1.54,1181,573,117,18,0.05,0.04,0.01,0.00,7.244582043,0.238289206,9.873860278,22.33,3.475906338
202,            Sesimbra (Santiago),344.02,273,40.7,53,52.1,4.2,0.149880668,3001.16,2401.4,19.05,20.23,422.5,75.52,0.129078014,5.1,2.02,7.71,1379,682.7,1,3084.1,0.010,0.020,0.050,0.340,0.003,0.018,135.1,0.418615752,0.380906921,1.14,552,258,49,13,0.05,0.04,0.01,0.00,6.35538262,0.179487179,7.614349776,16.07,4.555349576
203,            Quinta do Conde,425.2,785,33.6,39,18.5,4.8,0.107340345,861.87,1808.1,57.61,30.79,467,112.68,0.129013168,20.9,14.16,13.25,1835,129.6,0,1937.7,0.000,0.050,0.250,0.070,0.001,0.118,55.4,0.113954245,0.105930825,1.71,1103,374,143,7,0.04,0.03,0.01,0.00,10.79245283,0.182165605,10.25163239,16.66,3.773517927
204,            Setubal (Nossa Senhora da Anunciada),321.23,570,52.3,51,49.79,4.6,0.094286716,266.85,471,19.74,22.08,530.3,92.95,0.173064085,6,29.17,13.28,2970,101.8,1,572.8,0.020,0.030,0.100,0.180,0.002,0.013,19.5,0.281458114,0.259376095,2.37,1164,227,197,48,0.06,0.03,0.03,0.01,14.83433735,0.345614035,9.143240298,21.31,3.455944056
205,            Setubal (Santa Maria da Graca),325.26,482,49.6,45,66.9,4.4,0.128429656,1745.42,2780.1,22.3,22.45,566.5,87.47,0.175424193,8.8,2.74,15.19,1755,640.5,1,3420.6,0.020,0.040,0.090,0.190,0.002,0.031,175.9,0.348219498,0.333333333,2.62,847,106,193,40,0.07,0.02,0.04,0.01,12.70572745,0.400414938,9.943472409,20.98,3.718532068
206,            Setubal (Sao Juliao),408.9,672,50.1,47,54.36,4.8,0.077153025,1940.92,3451,26.62,23.33,553.5,109.12,0.132665991,6.5,4.85,28.1,5257,1083.9,1,4534.9,0.010,0.070,0.180,0.150,0.001,0.014,138.6,0.224483986,0.220782918,1.79,1577,325,193,14,0.06,0.03,0.02,0.00,6.868327402,0.287202381,12.02104394,36.87,3.747250733
